status,product_area,response,justification,request_type
escalated,account_management,"Thanks for sharing the details. I am escalating this to Claude support for account management because it needs human review or account-specific handling. Please include any relevant account, transaction, workspace, or assessment details in the secure support channel.","The ticket asks for a sensitive, high-risk, account-specific, security, payment, or third-party decision. Top source: Purchase and manage seats on Enterprise plans (admin_management).",product_issue
escalated,assessments,"Thanks for sharing the details. I am escalating this to HackerRank support for assessments because it needs human review or account-specific handling. Please include any relevant account, transaction, workspace, or assessment details in the secure support channel.","The ticket asks for a sensitive, high-risk, account-specific, security, payment, or third-party decision. Top source: IBM Kenexa BrassRing - HackerRank Tests Integration (ibm_kenexa_brassring).",product_issue
escalated,dispute_resolution,"Thanks for sharing the details. I am escalating this to Visa support for dispute resolution because it needs human review or account-specific handling. Please include any relevant account, transaction, workspace, or assessment details in the secure support channel.","The ticket asks for a sensitive, high-risk, account-specific, security, payment, or third-party decision. Top source: Visa Credit Card Rules & Regulations (consumer).",product_issue
replied,interviews,"Based on the provided HackerRank support documentation for interviews, Introduction to Mock Interview Types of mock interviews Accessing mock interview Last updated: Apr 22, 2026, 10:59 AM Last updated 4 days ago HackerRank Community offers AI-powered mock interviews that simulate real-world technical job interviews and provide immediate feedback on your performance. Mock interviews support: - Voice-based interaction - Chat-based interaction Types of mock interviews HackerRank Community offers the following AI-powered mock interview types: -  Technical Screen Mock Interview.",The ticket has a relevant match in the provided support corpus. Top source: Introduction to Mock Interview Types of mock interviews Accessing mock interview (mock_interviews).,bug
escalated,billing,"Thanks for sharing the details. I am escalating this to HackerRank support for billing because it needs human review or account-specific handling. Please include any relevant account, transaction, workspace, or assessment details in the secure support channel.","The ticket asks for a sensitive, high-risk, account-specific, security, payment, or third-party decision. Top source: Troubleshooting Login Issues Issue 1: Invalid credentials Issue 2: Wrong login page Issue 3: Password or cache (additional_resources).",product_issue
replied,security,"Based on the HackerRank support corpus, security and compliance requests should be routed through the HackerRank business/support process. The customer should share the infosec questionnaire or required forms through the official support or sales channel for completion.",The ticket has a relevant match in the provided support corpus. Top source: Early Talent (evaluation_guides).,product_issue
replied,community,"Based on the HackerRank Community jobs documentation, job applications are handled through the Search and Apply flow. If the Apply tab is not visible, the user should confirm they are signed in to the correct community account and that the job or challenge is still open.",The ticket has a relevant match in the provided support corpus. Top source: Search and Apply for Jobs (job_search_and_applications).,bug
escalated,community,"Thanks for sharing the details. I am escalating this to HackerRank support for community because it needs human review or account-specific handling. Please include any relevant account, transaction, workspace, or assessment details in the secure support channel.",The ticket may describe a platform-wide outage or service incident. Top source: Weekly Challenges Accessing weekly challenges Leaderboard Evaluating weekly challenges Available weekly challenges (getting_started).,bug
replied,test_environment,"Based on HackerRank test environment guidance, compatibility checks must pass before the assessment can be taken. Since only Zoom connectivity is failing, the user should verify browser permissions, network access, and Zoom connectivity, then contact the test owner or support if the assessment remains blocked.",The ticket has a relevant match in the provided support corpus. Top source: Greenhouse-HackerRank Integration FAQs API Token and Access Tests and Interviews Common Troubleshooting (greenhouse).,bug
replied,candidate_support,"Based on the provided HackerRank support corpus, assessment scheduling is controlled by the hiring company or test owner. Please contact the recruiter or assessment owner to request a new invitation or rescheduled test window.",The ticket has a relevant match in the provided support corpus. Top source: Onboarding Candidates (uncategorized).,product_issue
replied,user_management,"Based on HackerRank interview support documentation, candidate and interviewer activity settings are part of the interview configuration. Because this asks about the current configured timeout values, it should be checked in the company interview settings or confirmed by HackerRank support.",The ticket has a relevant match in the provided support corpus. Top source: Using Virtual Lobby in HackerRank Interviews (interview_settings).,product_issue
replied,conversation_management,"I can only help with HackerRank, Claude, and Visa support questions using the provided support corpus. This request is outside that scope, so I cannot complete it here.","The request is outside the supported product scope, so the agent can reply with a scope boundary. Top source: Retrieval augmented generation (RAG) for projects (features_and_capabilities).",invalid
replied,user_management,"Based on the provided HackerRank settings documentation, user access is managed from the company administration or team management settings. A company admin should remove or lock the user from the HackerRank hiring account; if the option is missing, the requester likely does not have the required admin permission.",The ticket has a relevant match in the provided support corpus. Top source: Manage Interviews Templates Creating an interview template Sharing an interview template Removing user access from an in (manage_interviews).,product_issue
replied,billing,"Based on the HackerRank subscription documentation, subscription pause requests belong under billing or subscriptions support. The account owner should follow the pause-subscription flow or contact HackerRank support so the billing team can apply the change.",The ticket has a relevant match in the provided support corpus. Top source: Pause Subscription (user_account_settings_and_preferences).,product_issue
escalated,admin_management,"Thanks for sharing the details. I am escalating this to Claude support for admin management because it needs human review or account-specific handling. Please include any relevant account, transaction, workspace, or assessment details in the secure support channel.",The ticket may describe a platform-wide outage or service incident. Top source: Manage extra usage for Team and seat-based Enterprise plans (admin_management).,bug
escalated,security,"Thanks for sharing the details. I am escalating this to Visa support for security because it needs human review or account-specific handling. Please include any relevant account, transaction, workspace, or assessment details in the secure support channel.","The ticket asks for a sensitive, high-risk, account-specific, security, payment, or third-party decision. Top source: Visa Consumer Support (support).",product_issue
replied,community,"Based on the HackerRank Community resume documentation, Resume Builder is part of the community profile tooling. If it is down or unavailable, the issue should be treated as a community product bug and retried after checking the account session; persistent failures should go to support.",The ticket has a relevant match in the provided support corpus. Top source: Create a Resume with Resume Builder (job_search_and_applications).,bug
replied,certificates,"Based on the HackerRank certifications documentation, certificate profile details are handled through the certification/account support flow. The user should request a certificate name correction with the assessment or certification details so support can verify and update it.",The ticket has a relevant match in the provided support corpus. Top source: Certifications FAQs (certifications).,product_issue
